Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Term Source REF	Term Accession Number	Characteristics[morphology]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[plate identifier]	Term Source REF	Term Accession Number	Parameter Value[well coordinate]	Term Source REF	Term Accession Number	Parameter Value[actual dose]	Unit	Term Source REF	Term Accession Number	Sample Name	Factor Value[compound]	Term Source REF	Term Accession Number	Factor Value[discretized dose]	Term Source REF	Term Accession Number	Factor Value[dose]	Unit	Term Source REF	Term Accession Number	Factor Value[timepoint]	Unit	Term Source REF	Term Accession Number
<184B5>-<GF1>-plate1-B09	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			B09			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-B09	INS - Insulin			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-B10	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			B10			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-B10	INS - Insulin			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-B11	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			B11			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-B11	INS - Insulin			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-B12	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			B12			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-B12	INS - Insulin			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-C01	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			C01			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-C01	EPR - Epiregulin			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-C02	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			C02			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-C02	EPR - Epiregulin			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-C03	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			C03			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-C03	EPR - Epiregulin			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-C04	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			C04			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-C04	EPR - Epiregulin			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-C05	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			C05			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-C05	EPR - Epiregulin			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-C06	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			C06			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-C06	EPR - Epiregulin			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-C07	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			C07			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-C07	IGF1 - Insulin-like Growth Factor 1			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-C08	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			C08			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-C08	IGF1 - Insulin-like Growth Factor 1			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-C09	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			C09			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-C09	IGF1 - Insulin-like Growth Factor 1			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-C10	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			C10			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-C10	IGF1 - Insulin-like Growth Factor 1			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-C11	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			C11			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-C11	IGF1 - Insulin-like Growth Factor 1			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-C12	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			C12			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-C12	IGF1 - Insulin-like Growth Factor 1			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-D01	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			D01			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-D01	BTC - Betacellulin			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-D02	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			D02			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-D02	BTC - Betacellulin			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-D03	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			D03			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-D03	BTC - Betacellulin			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-D04	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			D04			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-D04	BTC - Betacellulin			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-D05	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			D05			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-D05	BTC - Betacellulin			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-D06	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			D06			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-D06	BTC - Betacellulin			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-D07	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			D07			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-D07	IGF2 - Insulin-like Growth Factor 2			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-D08	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			D08			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-D08	IGF2 - Insulin-like Growth Factor 2			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-D09	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			D09			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-D09	IGF2 - Insulin-like Growth Factor 2			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-D10	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			D10			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-D10	IGF2 - Insulin-like Growth Factor 2			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-D11	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			D11			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-D11	IGF2 - Insulin-like Growth Factor 2			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-D12	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			D12			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-D12	IGF2 - Insulin-like Growth Factor 2			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-E01	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			E01			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-E01	HRGbeta1 - Heregulin beta1			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-E02	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			E02			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-E02	HRGbeta1 - Heregulin beta2			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-E03	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			E03			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-E03	HRGbeta1 - Heregulin beta3			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-E04	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			E04			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-E04	HRGbeta1 - Heregulin beta4			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-E05	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			E05			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-E05	HRGbeta1 - Heregulin beta5			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-E06	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			E06			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-E06	HRGbeta1 - Heregulin beta6			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-E07	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			E07			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-E07	SCF - Stem Cell Factor			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-E08	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			E08			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-E08	SCF - Stem Cell Factor			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-E09	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			E09			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-E09	SCF - Stem Cell Factor			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-E10	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			E10			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-E10	SCF - Stem Cell Factor			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-E11	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			E11			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-E11	SCF - Stem Cell Factor			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-E12	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			E12			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-E12	SCF - Stem Cell Factor			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	90	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-F01	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			F01			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-F01	vehicle control			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-F02	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			F02			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-F02	vehicle control			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	10	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-F03	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			F03			1	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-F03	vehicle control			low dose	OBI	OBI:112	1	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
<184B5>-<GF1>-plate1-F04	Homo sapiens	NCBITaxon	ncbitax:NCBITaxon_9606	184B5 cell	CLO	obo:CLO_0001138				sample collection	<184B5>-<GF1>-plate1			F04			100	nanogram per milliliter	UO	UO:0000275	<184B5>-<GF1>-plate1-F04	vehicle control			high dose	OBI	OBI:113	100	nanogram per milliliter	UO	UO:0000275	30	minute	UO	UO:0000031
