"Sample Name"	"Protocol REF"	"Protocol REF"	"Protocol REF"	"Labeled Sample Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Assay Name"	"Protocol REF"	"Parameter Value[cellular component]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[emission wavelength]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[microscopy instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[optical path]"	"Parameter Value[detector voltage]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Image File"	"Raw Data File"	"Protocol REF"	"Parameter Value[software]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Derived Data File"	"Factor Value[compound]"	"Term Source REF"	"Term Accession Number"	"Factor Value[dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"
"<SKBR3>-<GF1>-plate1-A02"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A02"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A02"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A02-488nm-site2.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA17"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A02"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A02"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A02"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A02-647nm-site2.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA18"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A02"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A02"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A02"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A02-488nm-site3.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA20"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A02"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A02"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A02"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A02-647nm-site3.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA21"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A02"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A02"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A02"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A02-488nm-site4.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA23"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A02"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A02"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A02"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A02-647nm-site4.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA24"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A03"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A03"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A03"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A03-488nm-site1.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA26"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A03"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A03"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A03"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A03-647nm-site1.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA27"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A03"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A03"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A03"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A03-488nm-site2.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA29"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A03"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A03"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A03"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A03-647nm-site2.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA30"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A03"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A03"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A03"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A03-488nm-site3.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA32"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A03"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A03"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A03"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A03-647nm-site3.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA33"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A03"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A03"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A03"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A03-488nm-site4.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA35"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A03"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A03"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A03"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A03-647nm-site4.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA36"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A04"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A04"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A04"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A04-488nm-site1.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA38"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A04"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A04"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A04"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A04-647nm-site1.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA39"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A04"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A04"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A04"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A04-488nm-site2.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA41"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A04"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A04"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A04"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A04-647nm-site2.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA42"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A04"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A04"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A04"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A04-488nm-site3.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA44"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A04"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A04"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A04"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A04-647nm-site3.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA45"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A04"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A04"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A04"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A04-488nm-site4.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA47"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A04"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A04"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A04"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A04-647nm-site4.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA48"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"100"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A05"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A05"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A05"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A05-488nm-site1.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA50"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A05"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A05"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A05"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A05-647nm-site1.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA51"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A05"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A05"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A05"	"data collection"	"phosphorylated Akt"	"PRO"	""	"488"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A05-488nm-site2.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA53"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
"<SKBR3>-<GF1>-plate1-A05"	"sample fixing"	"staining"	"labeling"	"<SKBR3>-<GF1>-plate1-A05"	"r-a-pErk;m-a-pAkt -- d-a-r 647; d-a-m 488"	""	""	"<SKBR3>-<GF1>-plate1-A05"	"data collection"	"phosphorylated Erk"	"PRO"	""	"647"	"nanometer"	"UO"	"UO:0000018"	" Applied Precision/GE ImagewoRx"	""	""	""	""	""	""	""	"<SKBR3>-<GF1>-plate1-A05-647nm-site2.TIFF"	""	"image analysis"	"ImageRail"	""	""	"IA54"	""	"VEGF-165 - Vascular endothelial growth factor A"	""	""	"1"	"nanogram per milliliter"	"UO"	"UO:0000275"	""	"minute"	"UO"	"UO:0000031"
